"No.","Time","Source","Destination","Protocol","Length","Info"
"951","2.257825","150.100.0.2","150.100.12.6","TCP","158","57300  >  49153 [ACK] Seq=701 Ack=401 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"952","2.257893","150.100.12.6","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=401 Ack=801 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"953","2.260780","150.100.0.2","150.100.12.12","TCP","64","57300  >  49153 [ACK] Seq=801 Ack=401 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"954","2.286042","150.100.12.8","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=501 Ack=1001 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"955","2.286042","150.100.0.2","150.100.12.8","TCP","158","57300  >  49153 [ACK] Seq=1001 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"956","2.286056","150.100.0.2","150.100.12.8","TCP","158","57300  >  49153 [ACK] Seq=1101 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"957","2.286123","150.100.12.8","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=601 Ack=1201 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"958","2.296099","150.100.12.9","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=501 Ack=1001 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"959","2.296099","150.100.0.2","150.100.12.9","TCP","158","57300  >  49153 [ACK] Seq=1001 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"960","2.296113","150.100.0.2","150.100.12.9","TCP","158","57300  >  49153 [ACK] Seq=1101 Ack=601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"961","2.296183","150.100.12.9","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=601 Ack=1201 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"962","2.300877","150.100.12.7","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=801 Ack=1601 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"963","2.300877","150.100.0.2","150.100.12.7","TCP","64","57300  >  49153 [ACK] Seq=1601 Ack=901 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"964","2.300883","150.100.0.2","150.100.12.7","TCP","158","57300  >  49153 [ACK] Seq=1601 Ack=901 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"965","2.300907","150.100.0.2","150.100.12.7","TCP","158","57300  >  49153 [ACK] Seq=1701 Ack=901 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"966","2.300975","150.100.12.7","150.100.0.2","TCP","64","49153  >  57300 [ACK] Seq=901 Ack=1801 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"967","2.303335","150.100.0.2","150.100.12.130","TCP","64","57300  >  49153 [ACK] Seq=801 Ack=401 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"968","2.308597","150.100.12.137","150.100.0.2","TCP","158","49153  >  57300 [ACK] Seq=401 Ack=801 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"969","2.308597","150.100.0.2","150.100.12.137","TCP","64","57300  >  49153 [ACK] Seq=801 Ack=501 Win=65535 Len=0 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
"970","2.308603","150.100.0.2","150.100.12.137","TCP","158","57300  >  49153 [ACK] Seq=801 Ack=501 Win=65535 Len=100 [ETHERNET FRAME CHECK SEQUENCE INCORRECT]"
